		X                 	 Y 		              Z
-3.760260109208140E-03 -5.505053484819410E-03 1.447135075905080E-04
-3.752874152265559E-03 -5.505854883770783E-03 1.445747877550695E-04
-3.745489397587275E-03 -5.506644917592892E-03 1.444360982482329E-04
-3.738105881460219E-03 -5.507423605136383E-03 1.442974393646281E-04
-3.730723639874158E-03 -5.508190965645109E-03 1.441588114035674E-04
-3.723342708486716E-03 -5.508947018791371E-03 1.440202146627719E-04
-3.715963122585663E-03 -5.509691784704403E-03 1.438816494323220E-04
-3.708584917049092E-03 -5.510425283992574E-03 1.437431159888664E-04
-3.701208126303982E-03 -5.511147537759694E-03 1.436046145900962E-04
-3.693832784283541E-03 -5.511858567615774E-03 1.434661454694932E-04
-3.686458924383650E-03 -5.512558395682591E-03 1.433277088313596E-04
-3.679086579418646E-03 -5.513247044594285E-03 1.431893048461229E-04
-3.671715781576628E-03 -5.513924537493249E-03 1.430509336459248E-04
-3.664346562374462E-03 -5.514590898021460E-03 1.429125953204906E-04
-3.656978952612568E-03 -5.515246150307375E-03 1.427742899132773E-04
-3.649612982329591E-03 -5.515890318948499E-03 1.426360174179147E-04
-3.642248680757050E-03 -5.516523428989574E-03 1.424977777749340E-04
-3.634886076274001E-03 -5.517145505896415E-03 1.423595708688020E-04
-3.627525196361795E-03 -5.517756575525262E-03 1.422213965252748E-04
-3.620166067558984E-03 -5.518356664087475E-03 1.420832545090908E-04
-3.612808715416480E-03 -5.518945798109412E-03 1.419451445220310E-04
-3.605453164453049E-03 -5.519524004387122E-03 1.418070662013823E-04
-3.598099438111317E-03 -5.520091309935553E-03 1.416690191188440E-04
-3.590747558714457E-03 -5.520647741931816E-03 1.415310027799438E-04
-3.583397547423862E-03 -5.521193327651987E-03 1.413930166240212E-04
-3.576049424198163E-03 -5.521728094400885E-03 1.412550600248673E-04
-3.568703207754053E-03 -5.522252069434090E-03 1.411171322921254E-04
-3.561358915529587E-03 -5.522765279871486E-03 1.409792326735703E-04
-3.554016563650778E-03 -5.523267752601461E-03 1.408413603584141E-04
-3.546676166902525E-03 -5.523759514174863E-03 1.407035144818228E-04
-3.539337738705260E-03 -5.524240590687744E-03 1.405656941308220E-04
-3.532001291098943E-03 -5.524711007651850E-03 1.404278983518709E-04
-3.524666834736801E-03 -5.525170789852305E-03 1.402901261603253E-04
-3.517334378890725E-03 -5.525619961190554E-03 1.401523765521636E-04
